,Prefecture,Prefecture_j,Prefecture_s,Numeric,Numeric_2,population_total,population_under_64,population_over_65,population_working_age_15_64,population_10s,population_20s,population_30s,population_40s,population_50s,population_60s,population_70s,population_80s,population_90s,population_over100,population_under9,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_94,age_95_99,age_over100
36,Tokushima,徳島県,徳島,36,360007.0,735070,490142.0,244807.0,407188.0,62177.0,61757.0,75063.0,98157.0,91356.0,105497.0,105781.0,62855.0,18823.0,591.0,52892.0,24493,28399,30062,32115,31857,29900,34359,40704,45598,52559,45571,45785,48740,56757,63608,42173,35103,27752,14579,4244,591
37,Kagawa,香川県,香川,37,370002.0,973922,671037.0,302859.0,552462.0,88533.0,89154.0,102360.0,138143.0,118116.0,125424.0,136156.0,76617.0,22968.0,909.0,75516.0,34873,40643,43059,45474,46074,43080,47841,54519,63886,74257,61065,57051,59215,66209,81631,54525,43023,33594,17730,5238,909
38,Ehime,愛媛県,愛媛,38,380008.0,1356343,912753.0,443466.0,754030.0,119734.0,115256.0,136791.0,183593.0,169678.0,186734.0,193938.0,114494.0,34776.0,1280.0,99945.0,45548,54397,58778,60956,58747,56509,63252,73539,84502,99091,84612,85066,87756,98978,114497,79441,65136,49358,26655,8121,1280
39,Kochi,高知県,高知,39,390003.0,701531,454836.0,246331.0,378224.0,58947.0,55360.0,66329.0,93623.0,86456.0,97990.0,107421.0,64346.0,21441.0,840.0,48414.0,22450,25964,28198,30749,28539,26821,29686,36643,42869,50754,42476,43980,45707,52283,63055,44366,35365,28981,16206,5235,840
40,Fukuoka,福岡県,福岡,40,400009.0,5124259,3711703.0,1412467.0,3029330.0,474078.0,532495.0,598708.0,733381.0,628330.0,638197.0,630740.0,347756.0,92417.0,3492.0,444576.0,210675,233901,237797,236281,268689,263806,278530,320178,349890,383491,327486,300844,300135,338062,374139,256601,203638,144118,70558,21859,3492
41,Saga,佐賀県,佐賀,41,410004.0,818251,570628.0,247594.0,460328.0,79942.0,74484.0,86670.0,105839.0,99030.0,115725.0,103224.0,63131.0,18976.0,705.0,70496.0,32804,37692,39804,40138,38601,35883,39766,46904,51584,54255,48946,50084,54167,61558,61720,41504,35563,27568,14381,4595,705
42,Nagasaki,長崎県,長崎,42,420000.0,1336023,898421.0,437517.0,731131.0,121217.0,108112.0,132289.0,167792.0,168351.0,199725.0,182322.0,114094.0,33419.0,1280.0,107337.0,50083,57254,59953,61264,55027,53085,61254,71035,78482,89310,82524,85827,93323,106402,109096,73226,64746,49348,25290,8129,1280
43,Kumamoto,熊本県,熊本,43,430005.0,1758815,1209969.0,548676.0,976977.0,163582.0,154899.0,186424.0,224560.0,212905.0,247677.0,225695.0,145598.0,45022.0,1787.0,150496.0,70453,80043,82496,81086,78217,76682,85983,100441,108886,115674,104029,108876,117103,130574,133712,91983,81536,64062,34083,10939,1787
44,Oita,大分県,大分,44,440001.0,1141784,766497.0,375244.0,627527.0,101871.0,99366.0,116122.0,150515.0,136048.0,159658.0,161508.0,97874.0,29415.0,1016.0,88348.0,40983,47365,50622,51249,51270,48096,53555,62567,71822,78693,68153,67895,74227,85431,94946,66562,55097,42777,22614,6801,1016
45,Miyazaki,宮崎県,宮崎,45,450006.0,1087372,736617.0,350624.0,593525.0,102324.0,88267.0,110154.0,140153.0,129606.0,158993.0,146557.0,91648.0,27183.0,1066.0,91290.0,42167,49123,51802,50522,44733,43534,49980,60174,67654,72499,63025,66581,74823,84170,88014,58543,51401,40247,20825,6358,1066
46,Kagoshima,鹿児島県,鹿児島,46,460001.0,1617850,1099011.0,518506.0,884627.0,150774.0,129463.0,168092.0,201001.0,195992.0,244771.0,206687.0,137509.0,43695.0,1723.0,137810.0,63756,74054,76574,74200,64143,65320,76140,91952,98458,102543,94353,101639,115879,128892,122973,83714,76271,61238,32923,10772,1723
47,Okinawa,沖縄県,沖縄,47,470007.0,1485484,1153145.0,331973.0,903961.0,166153.0,155599.0,182520.0,209387.0,183944.0,187462.0,130307.0,82170.0,22069.0,1220.0,164287.0,78778,85509,84897,81256,77134,78465,86277,96243,100390,108997,94765,89179,91255,96207,80111,50196,48321,33849,16704,5365,1220
48,Others,その他,その他,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
