code_pref,code_MIC,prefecture_j,prefecture_s,prefecture_en,総数,0歳から4歳,0歳から4歳,5歳から9歳,5歳から9歳,10歳から14歳,10歳から14歳,15歳から19歳,15歳から19歳,20歳から24歳,20歳から24歳,25歳から29歳,25歳から29歳,30歳から34歳,30歳から34歳,35歳から39歳,35歳から39歳,40歳から44歳,40歳から44歳,45歳から49歳,45歳から49歳,50歳から54歳,50歳から54歳,55歳から59歳,55歳から59歳,60歳から64歳,60歳から64歳,65歳から69歳,65歳から69歳,70歳から74歳,70歳から74歳,75歳から79歳,75歳から79歳,80歳から84歳,80歳から84歳,85歳から89歳,85歳から89歳,90歳から94歳,90歳から94歳,95歳から99歳,95歳から99歳,100歳以上,100歳以上,100歳以上,12歳から64歳,12歳以上,64歳以下,65歳以上,全人口,12歳未満,12～19歳,20歳代,30歳代,40歳代,50歳代,60～64歳,65～69歳,70歳代,80歳代,90歳代,100歳以上,100歳以上,100歳以上,0歳から4歳,0歳から4歳,5歳から9歳,5歳から9歳,10歳から14歳,10歳から14歳,15歳から19歳,15歳から19歳,20歳から24歳,20歳から24歳,25歳から29歳,25歳から29歳,30歳から34歳,30歳から34歳,35歳から39歳,35歳から39歳,40歳から44歳,40歳から44歳,45歳から49歳,45歳から49歳,50歳から54歳,50歳から54歳,55歳から59歳,55歳から59歳,60歳から64歳,60歳から64歳,65歳から69歳,65歳から69歳,70歳から74歳,70歳から74歳,75歳から79歳,75歳から79歳,80歳から84歳,80歳から84歳,85歳から89歳,85歳から89歳,90歳から94歳,90歳から94歳,95歳から99歳,95歳から99歳,100歳以上,100歳以上,100歳以上
20.0,200000.0,長野県,長野,Nagano,2072219,71755,71755,84116,84116,92413,92413,98183,98183,93329,93329,89019,89019,95854,95854,109449,109449,132239,132239,154924,154924,138469,138469,130293,130293,127187,127187,138853,138853,161035,161035,123525,123525,98117,98117,74441,74441,43211,43211,13286,13286,2039,2039,2039,1224401,1878908,1417230,654507,2071737,192829,153638,182348,205303,287163,268762,127187,138853,284560,172558,56497,2039,2039,2039,71755,71755,84116,84116,92413,92413,98183,98183,93329,93329,89019,89019,95854,95854,109449,109449,132239,132239,154924,154924,138469,138469,130293,130293,127187,127187,138853,138853,161035,161035,123525,123525,98117,98117,74441,74441,43211,43211,13286,13286,2039,2039,2039
21.0,210005.0,岐阜県,岐阜,Gifu,2016868,70502,70502,84517,84517,92172,92172,97816,97816,101672,101672,91582,91582,97755,97755,110822,110822,128059,128059,153734,153734,134675,134675,127862,127862,121086,121086,133927,133927,159246,159246,117076,117076,91272,91272,62331,62331,30701,30701,8676,8676,1308,1308,1308,1220365,1824902,1412254,604537,2016791,191889,153118,193254,208577,281793,262537,121086,133927,276322,153603,39377,1308,1308,1308,70502,70502,84517,84517,92172,92172,97816,97816,101672,101672,91582,91582,97755,97755,110822,110822,128059,128059,153734,153734,134675,134675,127862,127862,121086,121086,133927,133927,159246,159246,117076,117076,91272,91272,62331,62331,30701,30701,8676,8676,1308,1308,1308
22.0,220001.0,静岡県,静岡,Shizuoka,3686335,128162,128162,151757,151757,164347,164347,170622,170622,172974,172974,171051,171051,186044,186044,212091,212091,238179,238179,282531,282531,252543,252543,234298,234298,224934,224934,248527,248527,283927,283927,214102,214102,164794,164794,112254,112254,54497,54497,16178,16178,2448,2448,2448,2243877,3340604,2589533,1096727,3686260,345656,269232,344025,398135,520710,486841,224934,248527,498029,277048,70675,2448,2448,2448,128162,128162,151757,151757,164347,164347,170622,170622,172974,172974,171051,171051,186044,186044,212091,212091,238179,238179,282531,282531,252543,252543,234298,234298,224934,224934,248527,248527,283927,283927,214102,214102,164794,164794,112254,112254,54497,54497,16178,16178,2448,2448,2448
23.0,230006.0,愛知県,愛知,Aichi,7558872,305893,305893,338535,338535,352228,352228,360306,360306,419346,419346,427251,427251,439285,439285,476431,476431,522088,522088,621589,621589,540887,540887,469939,469939,397838,397838,414928,414928,508483,508483,390331,390331,289320,289320,180461,180461,78871,78871,21602,21602,3190,3190,3190,4886293,6773479,5671616,1887186,7558802,785323,571639,846597,915716,1143677,1010826,397838,414928,898814,469781,100473,3190,3190,3190,305893,305893,338535,338535,352228,352228,360306,360306,419346,419346,427251,427251,439285,439285,476431,476431,522088,522088,621589,621589,540887,540887,469939,469939,397838,397838,414928,414928,508483,508483,390331,390331,289320,289320,180461,180461,78871,78871,21602,21602,3190,3190,3190
24.0,240001.0,三重県,三重,Mie,1800756,62969,62969,74074,74074,80617,80617,84890,84890,89788,89788,85526,85526,91038,91038,100634,100634,114426,114426,138772,138772,121633,121633,116063,116063,107897,107897,116809,116809,137994,137994,102946,102946,80832,80832,56728,56728,27879,27879,7887,7887,1155,1155,1155,1099034,1631264,1268327,532230,1800557,169293,133257,175314,191672,253198,237696,107897,116809,240940,137560,35766,1155,1155,1155,62969,62969,74074,74074,80617,80617,84890,84890,89788,89788,85526,85526,91038,91038,100634,100634,114426,114426,138772,138772,121633,121633,116063,116063,107897,107897,116809,116809,137994,137994,102946,102946,80832,80832,56728,56728,27879,27879,7887,7887,1155,1155,1155
25.0,250007.0,滋賀県,滋賀,Shiga,1418886,58034,58034,67248,67248,70264,70264,71947,71947,74868,74868,70303,70303,77287,77287,86653,86653,98045,98045,112199,112199,94630,94630,86703,86703,80340,80340,86484,86484,99592,99592,70755,70755,52339,52339,36472,36472,18492,18492,5338,5338,850,850,850,895132,1265454,1048521,370322,1418843,153389,114104,145171,163940,210244,181333,80340,86484,170347,88811,23830,850,850,850,58034,58034,67248,67248,70264,70264,71947,71947,74868,74868,70303,70303,77287,77287,86653,86653,98045,98045,112199,112199,94630,94630,86703,86703,80340,80340,86484,86484,99592,99592,70755,70755,52339,52339,36472,36472,18492,18492,5338,5338,850,850,850
26.0,260002.0,京都府,京都,Kyoto,2530609,89818,89818,101472,101472,108694,108694,116921,116921,138039,138039,124335,124335,127759,127759,142999,142999,166434,166434,201550,201550,175936,175936,157355,157355,139463,139463,152754,152754,201200,201200,148765,148765,111281,111281,76483,76483,36430,36430,10969,10969,1885,1885,1885,1556010,2295777,1790775,739767,2530542,234765,182140,262374,270758,367984,333291,139463,152754,349965,187764,47399,1885,1885,1885,89818,89818,101472,101472,108694,108694,116921,116921,138039,138039,124335,124335,127759,127759,142999,142999,166434,166434,201550,201550,175936,175936,157355,157355,139463,139463,152754,152754,201200,201200,148765,148765,111281,111281,76483,76483,36430,36430,10969,10969,1885,1885,1885
27.0,270008.0,大阪府,大阪,Osaka,8839532,326249,326249,354672,354672,375333,375333,402530,402530,488222,488222,491248,491248,490505,490505,523879,523879,588713,588713,733372,733372,658542,658542,561107,561107,459527,459527,499397,499397,640030,640030,506178,506178,379511,379511,233071,233071,97008,97008,26251,26251,4166,4166,4166,5622846,8008458,6453899,2385612,8839511,831053,627731,979470,1014384,1322085,1219649,459527,499397,1146208,612582,123259,4166,4166,4166,326249,326249,354672,354672,375333,375333,402530,402530,488222,488222,491248,491248,490505,490505,523879,523879,588713,588713,733372,733372,658542,658542,561107,561107,459527,459527,499397,499397,640030,640030,506178,506178,379511,379511,233071,233071,97008,97008,26251,26251,4166,4166,4166
28.0,280003.0,兵庫県,兵庫,Hyogo,5523627,203469,203469,233196,233196,247674,247674,258721,258721,279099,279099,260234,260234,278920,278920,315934,315934,359566,359566,441471,441471,393033,393033,355651,355651,320225,320225,346873,346873,417847,417847,313748,313748,235102,235102,161896,161896,75797,75797,21861,21861,3308,3308,3308,3411460,4987892,3947193,1576432,5523625,535733,407327,539333,594854,801037,748684,320225,346873,731595,396998,97658,3308,3308,3308,203469,203469,233196,233196,247674,247674,258721,258721,279099,279099,260234,260234,278920,278920,315934,315934,359566,359566,441471,441471,393033,393033,355651,355651,320225,320225,346873,346873,417847,417847,313748,313748,235102,235102,161896,161896,75797,75797,21861,21861,3308,3308,3308
29.0,290009.0,奈良県,奈良,Nara,1344952,45029,45029,53696,53696,58695,58695,64252,64252,65698,65698,57325,57325,62405,62405,71142,71142,82573,82573,102459,102459,92988,92988,87004,87004,81326,81326,91818,91818,111981,111981,84950,84950,63400,63400,41301,41301,19940,19940,5840,5840,917,917,917,802393,1222540,924592,420147,1344739,122199,99473,123023,133547,185032,179992,81326,91818,196931,104701,25780,917,917,917,45029,45029,53696,53696,58695,58695,64252,64252,65698,65698,57325,57325,62405,62405,71142,71142,82573,82573,102459,102459,92988,92988,87004,87004,81326,81326,91818,91818,111981,111981,84950,84950,63400,63400,41301,41301,19940,19940,5840,5840,917,917,917
