,code_pref,code_MIC,type,prefecture_j,prefecture_s,prefecture_en,prefecture_kana,cities,cities_kana,vaccine_pop,政令指定都市
172,,15458.0,市区町村,北海道,,,ホッカイドウ,斜里町,シャリチョウ,True,False
173,,15466.0,市区町村,北海道,,,ホッカイドウ,清里町,キヨサトチョウ,True,False
174,,15474.0,市区町村,北海道,,,ホッカイドウ,小清水町,コシミズチョウ,True,False
175,,15491.0,市区町村,北海道,,,ホッカイドウ,訓子府町,クンネップチョウ,True,False
176,,15504.0,市区町村,北海道,,,ホッカイドウ,置戸町,オケトチョウ,True,False
177,,15521.0,市区町村,北海道,,,ホッカイドウ,佐呂間町,サロマチョウ,True,False
178,,15555.0,市区町村,北海道,,,ホッカイドウ,遠軽町,エンガルチョウ,True,False
179,,15598.0,市区町村,北海道,,,ホッカイドウ,湧別町,ユウベツチョウ,True,False
180,,15601.0,市区町村,北海道,,,ホッカイドウ,滝上町,タキノウエチョウ,True,False
181,,15610.0,市区町村,北海道,,,ホッカイドウ,興部町,オコッペチョウ,True,False
182,,15628.0,市区町村,北海道,,,ホッカイドウ,西興部村,ニシオコッペムラ,True,False
183,,15636.0,市区町村,北海道,,,ホッカイドウ,雄武町,オウムチョウ,True,False
184,,15644.0,市区町村,北海道,,,ホッカイドウ,大空町,オオゾラチョウ,True,False
185,,15717.0,市区町村,北海道,,,ホッカイドウ,豊浦町,トヨウラチョウ,True,False
186,,15750.0,市区町村,北海道,,,ホッカイドウ,壮瞥町,ソウベツチョウ,True,False
187,,15784.0,市区町村,北海道,,,ホッカイドウ,白老町,シラオイチョウ,True,False
188,,15814.0,市区町村,北海道,,,ホッカイドウ,厚真町,アツマチョウ,True,False
189,,15849.0,市区町村,北海道,,,ホッカイドウ,洞爺湖町,トウヤコチョウ,True,False
190,,15857.0,市区町村,北海道,,,ホッカイドウ,安平町,アビラチョウ,True,False
191,,15865.0,市区町村,北海道,,,ホッカイドウ,むかわ町,ムカワチョウ,True,False
192,,16012.0,市区町村,北海道,,,ホッカイドウ,日高町,ヒダカチョウ,True,False
193,,16021.0,市区町村,北海道,,,ホッカイドウ,平取町,ビラトリチョウ,True,False
194,,16047.0,市区町村,北海道,,,ホッカイドウ,新冠町,ニイカップチョウ,True,False
